Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
198376059927;CAMBERT - BRUİN;Ayakkabı;Skechers;Bal;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/210900-HNY/210900-HNY-64-0.jpg
198376059958;CAMBERT - BRUİN;Ayakkabı;Skechers;Bal;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/210900-HNY/210900-HNY-64-0.jpg
198376059934;CAMBERT - BRUİN;Ayakkabı;Skechers;Bal;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/210900-HNY/210900-HNY-64-0.jpg
197976890480;ULTRA GROOVE - HYDRO MİST;Ayakkabı;Skechers;Pembe/Açık Mavi;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302393L-HPAQ/01.jpg
197627897028;SOLA GLOW SANDAL;Ayakkabı;Skechers;Pembe/Açık Mavi;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-hpaq/01.jpg
197627896472;SOLA GLOW SANDAL;Ayakkabı;Skechers;Pembe/Açık Mavi;1;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-hpaq/01.jpg
197627896496;SOLA GLOW SANDAL;Ayakkabı;Skechers;Pembe/Açık Mavi;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-hpaq/01.jpg
197976890510;ULTRA GROOVE - HYDRO MİST;Ayakkabı;Skechers;Pembe/Açık Mavi;4;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302393L-HPAQ/01.jpg
197627897059;SOLA GLOW SANDAL;Ayakkabı;Skechers;Pembe/Açık Mavi;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-hpaq/01.jpg
197976890497;ULTRA GROOVE - HYDRO MİST;Ayakkabı;Skechers;Pembe/Açık Mavi;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302393L-HPAQ/01.jpg
197627897004;SOLA GLOW SANDAL;Ayakkabı;Skechers;Pembe/Açık Mavi;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-hpaq/01.jpg
198376498764;RAINBOW CRUISERS - RAINBOW REFLECTIN;Ayakkabı;Skechers;Pembe/Çoklu;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-hpmt/1.jpg
197627679310;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406N-HPMT/308406N-HPMT-182-0.jpg
197627679334;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406N-HPMT/308406N-HPMT-182-0.jpg
197627679327;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406N-HPMT/308406N-HPMT-182-0.jpg
199025467568;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
198739809961;MICROSPEC ADVANCE OASIS POINT;Ayakkabı;Skechers;Pembe/Çoklu;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303657n-hpmt/01.jpg
198376498702;RAINBOW CRUISERS - RAINBOW REFLECTIN;Ayakkabı;Skechers;Pembe/Çoklu;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-hpmt/1.jpg
198376923174;HEART LIGHTS BOOGIE LAND;Ayakkabı;Skechers;Pembe/Çoklu;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303258n-hpmt/01_1.jpg
