Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
198376094522;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
198376094553;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
198376590260;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
8683030716060;ARCH FİT 2.0-BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051tk-lgmt/1.jpg
8683030716077;ARCH FİT 2.0-BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051tk-lgmt/1.jpg
198376094560;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
8683030716121;ARCH FİT 2.0-BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051tk-lgmt/1.jpg
198739014228;SKECH CLOUD-PERFECTLY PLUSH;Ayakkabı;Skechers;Açık Gri/Çok renkli;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150560-lgmt/01.jpg
198376590253;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
198376094577;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
198376094591;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
197627018508;ARCH FİT 2.0  -  BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051-LGMT/01.jpg
